"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"1",0,NA,NA,NA,NA,NA,"OR4F5"
"2",0,NA,NA,NA,NA,NA,"OR4F29"
"3",0,NA,NA,NA,NA,NA,"OR4F16"
"4",5.80572463580425,0.971084451076252,2.16721079141781,0.448080295152535,0.654095248499357,NA,"SAMD11"
"5",1737.02974856411,-0.149245044037317,0.297688519305969,-0.501346321266492,0.616127410666847,0.876690703337247,"NOC2L"
"6",239.782660381305,0.273415144751514,0.48340379970358,0.565604045560193,0.571662977080374,0.851101428915966,"KLHL17"
"7",8.16538821952658,-0.322087122787722,1.93354708696266,-0.166578370374045,0.867701813825934,NA,"PLEKHN1"
"8",0,NA,NA,NA,NA,NA,"PERM1"
"9",406.640486944876,3.28665370883609,0.522548640487571,6.28966081658817,3.18160360197936e-10,3.64910453941306e-08,"HES4"
"10",14285.1880993248,4.06985409172113,0.272832299784488,14.9170537906836,2.55299374651292e-50,1.43478248554026e-46,"ISG15"
"11",45.6034458389784,2.92388681925081,1.03185876666183,2.83361145315447,0.00460252552396323,0.0531133335619576,"AGRN"
"12",0,NA,NA,NA,NA,NA,"RNF223"
"13",438.668615085487,0.448972542275142,0.370754504244577,1.21096989284038,0.225906943662445,0.585067752711032,"C1orf159"
"14",2.03955576472835,1.94087002057641,4.55476695179546,0.426118403228365,0.670021570876263,NA,"TTLL10"
"15",119.547213290543,0.227912293350841,0.76994184890508,0.296012346484284,0.767220652583618,0.935242585681426,"TNFRSF18"
"16",131.668373205564,0.102582023457483,0.645754016797504,0.158856191040389,0.873782176795018,0.967299244961523,"TNFRSF4"
"17",3460.91222987243,0.218849052393882,0.259770892919184,0.842469492769412,0.399525209009523,0.746370639767375,"SDF4"
"18",797.923691995739,-0.210148217905795,0.304197259053121,-0.6908287686744,0.489673154183812,0.805782143242308,"B3GALT6"
"19",4.44465772851285,-4.81170487195949,3.30850570462229,-1.45434383420802,0.145851003291899,NA,"C1QTNF12"
"20",1841.90282987357,-0.125784555183067,0.27281468514048,-0.461062259600493,0.644753937585631,0.888983665212838,"UBE2J2"
"21",29.3118221723309,-0.955194174226296,1.17403535329314,-0.81359915742486,0.415874620744658,0.756183977806046,"SCNN1D"
"22",798.885999240923,0.13514161084635,0.394324043530373,0.342717146122845,0.731811262350407,0.921445041633941,"ACAP3"
"23",253.175003459332,-0.121001704223878,0.4605667647256,-0.2627234822208,0.792763716214092,0.945141935539803,"PUSL1"
"24",2066.96850499141,-0.105245524930552,0.268158460922795,-0.392475122986528,0.694707188896774,0.906560619566533,"INTS11"
"25",660.965043710923,0.410079706419679,0.34401098212549,1.19205411375526,0.233240027632043,0.593886042892818,"CPTP"
"26",37.1057224344578,-2.15488955502717,1.0446498678677,-2.06278641419411,0.0391329253824561,0.219853756064049,"TAS1R3"
"27",193.763324753549,-0.44199510224654,0.490395528928462,-0.901303287190078,0.367427086500362,0.718323362522739,"DVL1"
"28",32.8030480817708,-1.96203496397424,1.2776538350328,-1.5356545804317,0.124623120176145,0.435492935130834,"MXRA8"
"29",2110.17427222285,0.680923572198602,0.259870208119287,2.62024484117103,0.00878666567422498,0.0832265074536141,"AURKAIP1"
"30",6683.21589834979,-0.255747848762707,0.241663783865015,-1.05827958443934,0.28992799763338,0.65089028496655,"CCNL2"
"31",1411.25945653674,0.132375896949449,0.289114636476588,0.457866466266465,0.647048380151015,0.889133703701633,"MRPL20"
"32",0,NA,NA,NA,NA,NA,"ANKRD65"
"33",0.573921534045492,3.72298129589468,5.49344594622446,0.677713284582952,0.497953501723737,NA,"TMEM88B"
"34",0.502118698597793,-1.65381380849536,5.7358363105445,-0.288330021806073,0.773094128404322,NA,"VWA1"
"35",14.8269521910687,-0.476638471983073,1.55598240583769,-0.306326389164063,0.759356148692029,NA,"ATAD3C"
"36",633.880893529808,0.0918953552044992,0.322718692547269,0.28475374165393,0.775832814367199,0.939148264309491,"ATAD3B"
"37",382.009588505247,-0.54189608040711,0.442332864507802,-1.22508663472269,0.220542580334579,0.577804483246244,"ATAD3A"
"38",2.84122592031986,0.388496322498468,3.56882447525372,0.10885834402681,0.91331484688149,NA,"TMEM240"
"39",5772.37305583105,0.289876929267667,0.240821947228908,1.2036981371641,0.228706272541039,0.588162439645671,"SSU72"
"40",349.746536876322,1.01169767302323,0.406569077536232,2.4883783074552,0.0128327146499773,0.10726800644453,"FNDC10"
"41",1085.08947589686,0.0114986648210565,0.28146464416753,0.040852963451468,0.967413115843859,0.991658523819404,"MIB2"
"42",55.2468589627309,-0.741630791645711,0.841085367585952,-0.881754480849321,0.377909592081817,0.727546052606415,"MMP23B"
"43",690.012507203968,0.212373949000239,0.481156337422693,0.441382420811117,0.658936166493867,0.893347038202525,"CDK11B"
"44",4245.43757427475,-0.606015736349539,0.314714623492112,-1.92560399521673,0.0541538394852727,0.269252059487378,"SLC35E2B"
"45",924.432781063514,0.7400747469976,0.40773594388944,1.81508340897774,0.0695110924352034,0.314281849948385,"CDK11A"
"46",13649.8082220593,1.04039494444129,0.333324616680747,3.1212664543098,0.00180075018685668,0.0265622468507468,"NADK"
"47",8813.50457272359,-0.0490780191513486,0.251816413033985,-0.19489602984983,0.845474342318273,0.958132513145971,"GNB1"
"48",0.573921534045492,3.72298129589468,5.49344594622446,0.677713284582952,0.497953501723737,NA,"CALML6"
"49",0,NA,NA,NA,NA,NA,"TMEM52"
"50",0.222928174159342,-0.68136789399358,5.77057598180488,-0.118076236434975,0.906007252293569,NA,"CFAP74"
