Edge,From,To,Relationship,Score
439,CELSR3,FZD9,Interaction,733
442,SFRP1,FZD7,Interaction,740
443,SFRP1,WNT8B,Interaction,983
444,DKK4,WNT8B,Interaction,926
446,NGFR,NTRK3,Interaction,868
451,SFRP1,FZD6,Interaction,797
452,DLL3,NOTCH3,Interaction,854
453,CHN2,CPVL,Interaction,700
454,PRSS21,GPIHBP1,Interaction,900
455,PRSS21,ART4,Interaction,900
456,PRSS21,LYPD4,Interaction,902
457,PRSS21,RTN4RL1,Interaction,906
458,PRSS21,TEX101,Interaction,902
459,PRSS21,LY6E,Interaction,900
460,PRSS21,LYPD8,Interaction,900
462,LRRC7,JUP,Interaction,917
463,ITGB4,JUP,Interaction,894
464,PRSS21,PSCA,Interaction,900
465,PRSS21,ULBP2,Interaction,900
466,PRSS21,NEGR1,Interaction,904
468,PRSS21,PLET1,Interaction,900
469,PRSS21,TECTB,Interaction,900
471,PRSS21,LYPD1,Interaction,900
472,PRSS21,CNTN3,Interaction,902
473,PRSS21,LY6K,Interaction,905
474,PRSS21,LYPD2,Interaction,903
475,PRSS21,MDGA1,Interaction,900
476,PRSS21,MDGA2,Interaction,900
477,PRSS21,NRN1,Interaction,900
478,PRSS21,RTN4RL2,Interaction,906
480,PRSS21,TECTA,Interaction,900
485,DRD4,PRL,Interaction,709
494,GCK,LCT,Interaction,920
498,HOXA6,HOXA3,Interaction,850
501,HOXA6,HOXA7,Interaction,978
503,TBX21,IL5,Interaction,741
504,IL2RB,IL5,Interaction,939
507,EPX,IL5,Interaction,726
508,CX3CL1,TAS2R19,Interaction,900
510,DRD4,TAS2R19,Interaction,900
511,CX3CL1,OPRM1,Interaction,921
512,DRD4,OPRM1,Interaction,929
513,CX3CL1,ADRA2A,Interaction,906
514,DRD4,ADRA2A,Interaction,913
515,CX3CL1,GPR31,Interaction,903
516,DRD4,GPR31,Interaction,900
517,CX3CL1,PDYN,Interaction,910
519,DRD4,PDYN,Interaction,961
521,UTS2,XCL1,Interaction,902
523,PROKR2,XCL1,Interaction,901
524,MLNR,XCL1,Interaction,901
526,CX3CL1,OXER1,Interaction,900
527,DRD4,OXER1,Interaction,902
528,CX3CL1,TAS2R30,Interaction,900
530,DRD4,TAS2R30,Interaction,900
531,CX3CL1,SSTR2,Interaction,902
532,DRD4,SSTR2,Interaction,917
535,CX3CL1,CHRM4,Interaction,902
536,DRD4,CHRM4,Interaction,907
538,CX3CL1,RXFP4,Interaction,900
539,DRD4,RXFP4,Interaction,910
540,CX3CL1,CXCL11,Interaction,956
541,DRD4,CXCL11,Interaction,900
550,CX3CL1,SSTR4,Interaction,904
551,DRD4,SSTR4,Interaction,916
553,CX3CL1,NPBWR1,Interaction,900
554,DRD4,NPBWR1,Interaction,908
556,CX3CL1,APLN,Interaction,906
557,DRD4,APLN,Interaction,900
559,DCN,FGF2,Interaction,829
560,NGFR,FGF2,Interaction,806
561,FGF20,FGF2,Interaction,915
562,OSM,FGF2,Interaction,740
566,HGF,FGF2,Interaction,904
567,CX3CL1,MTNR1B,Interaction,900
568,DRD4,MTNR1B,Interaction,916
569,GCK,MTNR1B,Interaction,743
571,CX3CL1,HTR1F,Interaction,902
572,DRD4,HTR1F,Interaction,906
573,CX3CL1,CCR2,Interaction,970
574,DRD4,CCR2,Interaction,904
577,CCL22,CCR2,Interaction,893
578,CX3CL1,CCL25,Interaction,952
579,DRD4,CCL25,Interaction,900
581,CX3CL1,TAS2R4,Interaction,900
583,DRD4,TAS2R4,Interaction,900
586,CX3CL1,GALR2,Interaction,900
587,DRD4,GALR2,Interaction,910
588,CX3CL1,TAS2R39,Interaction,900
589,DRD4,TAS2R39,Interaction,900
590,CX3CL1,CCR5,Interaction,964
591,DRD4,CCR5,Interaction,906
595,GZMB,CCR5,Interaction,707
596,CCL22,CCR5,Interaction,848
598,NTN1,MAP1B,Interaction,957
600,CX3CL1,TAS2R3,Interaction,900
601,DRD4,TAS2R3,Interaction,900
602,CX3CL1,S1PR5,Interaction,905
603,DRD4,S1PR5,Interaction,900
605,CX3CL1,GNG12,Interaction,900
606,UTS2,GNG12,Interaction,900
607,DRD4,GNG12,Interaction,912
608,SCT,GNG12,Interaction,900
609,PROKR2,GNG12,Interaction,912
610,MLNR,GNG12,Interaction,912
611,CX3CL1,P2RY14,Interaction,900
612,DRD4,P2RY14,Interaction,906
613,CX3CL1,PTGDR2,Interaction,901
614,DRD4,PTGDR2,Interaction,900
618,FGF20,CSF1R,Interaction,708
619,HGF,CSF1R,Interaction,721
620,CX3CL1,PTGER3,Interaction,907
621,DRD4,PTGER3,Interaction,921
623,CX3CL1,SSTR3,Interaction,902
624,DRD4,SSTR3,Interaction,918
628,CX3CL1,OXGR1,Interaction,900
629,DRD4,OXGR1,Interaction,905
630,CX3CL1,ADORA1,Interaction,926
631,DRD4,ADORA1,Interaction,922
633,CCL22,CCL24,Interaction,712
635,CX3CL1,HRH4,Interaction,900
636,DRD4,HRH4,Interaction,904
637,CX3CL1,PMCH,Interaction,900
638,UTS2,PMCH,Interaction,905
639,DRD4,PMCH,Interaction,901
640,PROKR2,PMCH,Interaction,900
641,MLNR,PMCH,Interaction,900
642,CX3CL1,ADRA2B,Interaction,906
