"Betweenness Dir","Bridging Dir","Centroid Dir","Closeness Dir","COMMON","Degree unDir","degree.layout","Eccentricity Dir","EigenVector Dir","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","InDegree","name","OutDegree","Radiality Dir","selected","shared name","Stress Dir"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""IFIT3""","0.0","0.0011135857461024498","false","""IFIT3""","0.0"
"0.0","0.0","-10.0","10.0",,"10.0","10","1.0","0.0",,,,,,,"0.0","""FGF20""","10.0","0.0011261261261261261","false","""FGF20""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""FGF9""","0.0","0.0011135857461024498","false","""FGF9""","0.0"
"0.0","0.0","-2.0","2.0",,"2.0","2","1.0","0.0",,,,,,,"0.0","""HSD17B2""","2.0","0.0011160714285714285","false","""HSD17B2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""UGT2B17""","0.0","0.0011135857461024498","false","""UGT2B17""","0.0"
"0.0","0.0","-22.0","22.0",,"22.0","22","1.0","0.0",,,,,,,"0.0","""TMEM132A""","22.0","0.001141552511415525","false","""TMEM132A""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""TNC""","0.0","0.0011135857461024498","false","""TNC""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""MSLN""","0.0","0.0011135857461024498","false","""MSLN""","0.0"
"0.0","0.0","-22.0","22.0",,"22.0","22","1.0","0.0",,,,,,,"0.0","""PRSS21""","22.0","0.001141552511415525","false","""PRSS21""","0.0"
"0.0","0.0","-7.0","7.0",,"7.0","7","1.0","0.0",,,,,,,"0.0","""LRRC7""","7.0","0.001122334455667789","false","""LRRC7""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""FRK""","0.0","0.0011135857461024498","false","""FRK""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""FBN1""","0.0","0.0011135857461024498","false","""FBN1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""NOTUM""","0.0","0.0011135857461024498","false","""NOTUM""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""C3""","0.0","0.0011135857461024498","false","""C3""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""PRSS23""","0.0","0.0011135857461024498","false","""PRSS23""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""ALB""","0.0","0.0011135857461024498","false","""ALB""","0.0"
"0.0","0.0","-4.0","4.0",,"4.0","4","1.0","0.0",,,,,,,"0.0","""SLC10A1""","4.0","0.0011185682326621924","false","""SLC10A1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""ITIH2""","0.0","0.0011135857461024498","false","""ITIH2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""EVA1A""","0.0","0.0011135857461024498","false","""EVA1A""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""IGFBP5""","0.0","0.0011135857461024498","false","""IGFBP5""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""PLG""","0.0","0.0011135857461024498","false","""PLG""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""FGF23""","0.0","0.0011135857461024498","false","""FGF23""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""SPP1""","0.0","0.0011135857461024498","false","""SPP1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""DMP1""","0.0","0.0011135857461024498","false","""DMP1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""CDH2""","0.0","0.0011135857461024498","false","""CDH2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""PROC""","0.0","0.0011135857461024498","false","""PROC""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""IGFBP3""","0.0","0.0011135857461024498","false","""IGFBP3""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""SPARCL1""","0.0","0.0011135857461024498","false","""SPARCL1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""CSF1""","0.0","0.0011135857461024498","false","""CSF1""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""PENK""","0.0","0.0011135857461024498","false","""PENK""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""CCN1""","0.0","0.0011135857461024498","false","""CCN1""","0.0"
"0.0","0.0","-3.0","3.0",,"3.0","3","1.0","0.0",,,,,,,"0.0","""EPX""","3.0","0.0011173184357541898","false","""EPX""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""RNASE3""","0.0","0.0011135857461024498","false","""RNASE3""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""LAMB2""","0.0","0.0011135857461024498","false","""LAMB2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""RNASE2""","0.0","0.0011135857461024498","false","""RNASE2""","0.0"
"0.0","0.0","0.0","0.0",,"5.0","5","0.0","0.0",,,,,,,"5.0","""FN1""","0.0","0.0011135857461024498","false","""FN1""","0.0"
"0.0","0.0","-1.0","1.0",,"1.0","1","1.0","0.0",,,,,,,"0.0","""FAP""","1.0","0.0011148272017837235","false","""FAP""","0.0"
"0.0","0.0","-4.0","4.0",,"4.0","4","1.0","0.0",,,,,,,"0.0","""CEACAM6""","4.0","0.0011185682326621924","false","""CEACAM6""","0.0"
